year,month,level
1996,11,-0.037000000000000005
1996,12,-0.036000000000000004
1997,1,-0.032
1997,2,-0.021
1997,3,0.046
1997,4,0.012
1997,5,0.10300000000000001
1997,6,0.08199999999999999
1997,7,0.059000000000000004
1997,8,0.095
1997,9,0.12
1997,10,0.175
1997,11,0.204
1997,12,0.185
1998,1,0.145
1998,2,0.079
1998,3,0.073
1998,4,-0.006999999999999999
1998,5,0.002
1998,6,0.005
1998,7,0.049
1998,8,0.055
1998,9,0.018000000000000002
1998,10,-0.009000000000000001
1998,11,-0.013000000000000001
1998,12,-0.084
1999,1,-0.038
1999,2,-0.079
1999,3,-0.034
1999,4,-0.021
1999,5,0.013999999999999999
1999,6,-0.011000000000000001
1999,7,-0.016
1999,8,-0.055999999999999994
1999,9,-0.08199999999999999
1999,10,-0.071
1999,11,-0.098
1999,12,-0.083
2000,1,-0.052000000000000005
2000,2,-0.047
2000,3,-0.003
2000,4,-0.019
2000,5,0.009000000000000001
2000,6,0.037000000000000005
2000,7,0.011000000000000001
2000,8,-0.026000000000000002
2000,9,-0.024
2000,10,-0.044000000000000004
2000,11,-0.06
2000,12,-0.086
2001,1,-0.055
2001,2,-0.048
2001,3,-0.003
2001,4,-0.051
2001,5,0.03
2001,6,0.005
2001,7,-0.03
2001,8,-0.016
2001,9,-0.013000000000000001
2001,10,-0.038
2001,11,-0.062
2001,12,-0.067
2002,1,-0.054000000000000006
2002,2,-0.027000000000000003
2002,3,-0.047
2002,4,-0.042
2002,5,-0.048
2002,6,-0.019
2002,7,-0.013999999999999999
2002,8,-0.044000000000000004
2002,9,0.005
2002,10,-0.021
2002,11,0.045
2002,12,0.003
2003,1,-0.004
2003,2,0.071
2003,3,-0.066
2003,4,-0.015
2003,5,-0.022000000000000002
2003,6,-0.005
2003,7,0.01
2003,8,0.006
2003,9,-0.005
2003,10,0.071
2003,11,0.0
2003,12,-0.013000000000000001
2004,1,0.015
2004,2,-0.032
2004,3,0.042
2004,4,0.003
2004,5,0.048
2004,6,0.048
2004,7,-0.01
2004,8,-0.006999999999999999
2004,9,0.062
2004,10,0.046
2004,11,0.026000000000000002
2004,12,0.040999999999999995
2005,1,0.069
2005,2,0.086
2005,3,0.021
2005,4,0.032
2005,5,0.042
2005,6,0.001
2005,7,0.035
2005,8,0.019
2005,9,-0.033
2005,10,-0.005
2005,11,-0.019
2005,12,-0.035
2006,1,-0.066
2006,2,-0.027999999999999997
2006,3,-0.051
2006,4,-0.01
2006,5,0.017
2006,6,0.008
2006,7,0.057999999999999996
2006,8,0.013999999999999999
2006,9,0.022000000000000002
2006,10,0.035
2006,11,0.035
2006,12,0.005
2007,1,-0.002
2007,2,-0.038
2007,3,-0.054000000000000006
2007,4,-0.02
2007,5,-0.027999999999999997
2007,6,-0.018000000000000002
2007,7,0.021
2007,8,0.004
2007,9,-0.021
2007,10,-0.055
2007,11,-0.046
2007,12,-0.046
2008,1,-0.057
2008,2,-0.063
2008,3,-0.106
2008,4,-0.049
2008,5,0.013000000000000001
2008,6,0.062
2008,7,0.07200000000000001
2008,8,0.087
2008,9,0.047
2008,10,0.013000000000000001
2008,11,0.0
2008,12,0.001
2009,1,-0.022000000000000002
2009,2,-0.027999999999999997
2009,3,0.006
2009,4,-0.023
2009,5,0.013999999999999999
2009,6,0.021
2009,7,-0.006999999999999999
2009,8,-0.006999999999999999
2009,9,0.027000000000000003
2009,10,0.07200000000000001
2009,11,0.026000000000000002
2009,12,0.079
2010,1,0.062
2010,2,0.08
2010,3,-0.013000000000000001
2010,4,
2010,5,-0.023
2010,6,0.002
2010,7,-0.035
2010,8,-0.035
2010,9,-0.043
2010,10,-0.04
2010,11,-0.042
2010,12,-0.015
2011,1,-0.002
2011,2,-0.024
2011,3,-0.023
2011,4,0.054000000000000006
2011,5,0.055
2011,6,0.040999999999999995
2011,7,0.067
2011,8,0.017
2011,9,-0.012
2011,10,-0.026000000000000002
2011,11,-0.037000000000000005
2011,12,-0.023
2012,1,-0.011000000000000001
2012,2,-0.003
2012,3,0.013000000000000001
2012,4,0.028999999999999998
2012,5,0.063
2012,6,0.08900000000000001
2012,7,0.032
2012,8,0.085
2012,9,0.071
2012,10,0.076
2012,11,0.028999999999999998
2012,12,0.03
2013,1,-0.019
2013,2,-0.004
2013,3,0.025
2013,4,0.044000000000000004
2013,5,0.034
2013,6,0.028999999999999998
2013,7,0.021
2013,8,-0.006
2013,9,0.039
2013,10,0.055
2013,11,0.043
2013,12,0.039
2014,1,0.066
2014,2,0.021
2014,3,0.05
2014,4,0.087
2014,5,0.113
2014,6,0.091
2014,7,0.07200000000000001
2014,8,0.042
2014,9,0.121
2014,10,0.139
2014,11,0.066
2014,12,0.109
2015,1,0.073
2015,2,0.10099999999999999
2015,3,0.11
2015,4,0.09
2015,5,0.096
2015,6,0.107
2015,7,0.127
2015,8,0.07
2015,9,0.17600000000000002
